scientificName,scientificNameAuthorship,spec.name.ORIG,genus,family,manual_length,manual_width,sd_manual_length,sd_manual_width
Acer campestre,L.,Acer campestre,Acer,Sapindaceae,30.6,11.2,3.209,1.304
Acer platanoides,L.,Acer platanoides,Acer,Sapindaceae,31.8,10,1.643,1
Achillea atrata,L.,Achillea atrata,Achillea,Asteraceae,2.816,1.198,0.25,0.142
Achillea clavennae,L.,Achillea clavennae,Achillea,Asteraceae,2.482,0.968,0.175,0.087
Achillea millefolium,L.,Achillea millefolium,Achillea,Asteraceae,1.746,0.696,0.06,0.06
Achillea erba-rotta subsp. moschata,(Wulfen) I.Richardson,Achillea moschata,Achillea,Asteraceae,2.062,0.8,0.093,0.121
Achillea nana,L.,Achillea nana,Achillea,Asteraceae,2.878,1.114,0.203,0.094
Achillea nobilis,L.,Achillea nobilis,Achillea,Asteraceae,1.06,0.48,0.065,0.097
Aconitum anthora,L.,Aconitum anthora,Aconitum,Ranunculaceae,3.53,1.85,0.055,0.055
Aconitum lycoctonum,L.,Aconitum lycoctonum,Aconitum,Ranunculaceae,2.856,1.912,0.244,0.104
Aconitum ×cammarum,L.,Aconitum paniculatum,Aconitum,Ranunculaceae,3.992,2.1,0.285,0
Aconitum variegatum,L.,Aconitum variegatum,Aconitum,Ranunculaceae,4.434,2.586,0.272,0.06
Adenophora liliifolia,(L.) A.DC.,Adenophora liliifolia,Adenophora,Campanulaceae,1.998,1.03,0.127,0.045
Adenostyles alliariae,(Gouan) A.Kern.,Adenostyles alliariae,Adenostyles,Asteraceae,4.708,0.924,0.239,0.156
Adenostyles alpina,(L.) Bluff & Fingerh.,Adenostyles glabra,Adenostyles,Asteraceae,5.022,0.988,0.2,0.093
Adonis aestivalis,L.,Adonis aestivalis,Adonis,Ranunculaceae,5.128,3.884,0.197,0.519
Adonis flammea,Jacq.,Adonis flammea,Adonis,Ranunculaceae,4.638,2.9,0.383,0.263
Aegopodium podagraria,L.,Aegopodium podagraria,Aegopodium,Apiaceae,3.55,1.304,0.116,0.06
Aethionema saxatile,(L.) R.Br.,Aethionema saxatile,Aethionema,Brassicaceae,1.41,0.928,0.055,0.049
Aethusa cynapium,L.,Aethusa cynapium,Aethusa,Apiaceae,3.784,2.5,0.147,0.189
Agrimonia eupatoria,L.,Agrimonia eupatoria,Agrimonia,Rosaceae,6.974,4.158,0.831,0.404
